Обучающая выборка. Трансформатор с Низкотемпературным дефектом.
        H2,              CO               C2H4,            C2H2        
    0.0002240000     0.0008618598     0.0000000000     0.0000000000      
    0.0009000000     0.0008484508     0.0009000000     0.0000220000      
    0.0000000000     0.0009015271     0.0000450000     0.0000000000      
    0.0004700000     0.0011530042     0.0004480000     0.0000000000      
    0.0000650000     0.0009963911     0.0000050000     0.0000000000      
    0.0000530000     0.0011324673     0.0000045000     0.0000000000      
    0.0002190000     0.0008675554     0.0000030000     0.0000000000      
    0.0000370000     0.0008287957     0.0000055000     0.0000000000      
    0.0000340000     0.0011322062     0.0000025000     0.0000000000      
    0.0000140000     0.0008465051     0.0000030000     0.0000000000      
    0.0000480000     0.0010448548     0.0000005000     0.0000000000      
    0.0001300000     0.0010469722     0.0001200000     0.0000000000      
    0.0000860000     0.0010914188     0.0000025000     0.0000000000      
    0.0000060000     0.0008528467     0.0000007000     0.0000000000      
    0.0000500000     0.0009033990     0.0000000000     0.0000000000      
    0.0000550000     0.0010208509     0.0000026000     0.0000000000      
    0.0000780000     0.0009161445     0.0000026000     0.0000000000      
    0.0012700000     0.0008222675     0.0013900000     0.0000080000      
    0.0034200000     0.0011303529     0.0069900000     0.0000330000      
    0.0003600000     0.0011021615     0.0002600000     0.0000090000      
    0.0000010000     0.0009436284     0.0000040000     0.0000010000      
    0.0036750000     0.0008765550     0.0076910000     0.0000050000      
    0.0000480000     0.0008586516     0.0000100000     0.0000000000      
    0.0000120000     0.0010407529     0.0000040000     0.0000000000      
    0.0000660000     0.0011538025     0.0000070000     0.0000000000      
    0.0014500000     0.0011678876     0.0003220000     0.0000610000      
    0.0000000000     0.0010558130     0.0005400000     0.0003300000      
    0.0009600000     0.0008684378     0.0015600000     0.0000060000      
    0.0247000000     0.0011141561     0.0421000000     0.0015600000      
    0.0000140000     0.0008835839     0.0000070000     0.0000010000      
    0.0020310000     0.0009381247     0.0000030000     0.0000000000      
    0.0004800000     0.0011895414     0.0011320000     0.0000000000      
    0.0400000000     0.0008856895     0.0006000000     0.0000060000      
    0.0000140000     0.0001280000     0.0000070000     0.0001240000      
    0.0020310000     0.0005560000     0.0000030000     0.0000200000      
    0.0000480000     0.0019000000     0.0000100000     0.0000290000      
    0.0000120000     0.0005590000     0.0000040000     0.0000040000      
